Step: 413578 | Episode 8500 | Return: 0.0 | Elapsed: 49.39 min
Step: 419746 | Episode 8600 | Return: 0.0 | Elapsed: 50.27 min
Step: 426168 | Episode 8700 | Return: 0.0 | Elapsed: 51.19 min
Step: 433096 | Episode 8800 | Return: 0.0 | Elapsed: 52.18 min
Step: 439396 | Episode 8900 | Return: 0.0 | Elapsed: 53.08 min
Step: 445771 | Episode 9000 | Return: 0.0 | Elapsed: 54.01 min
Step: 452248 | Episode 9100 | Return: 0.0 | Elapsed: 54.99 min
Step: 458646 | Episode 9200 | Return: 0.0 | Elapsed: 55.88 min
Step: 465133 | Episode 9300 | Return: 0.0 | Elapsed: 56.79 min
Step: 471619 | Episode 9400 | Return: 0.0 | Elapsed: 57.70 min
Step: 478401 | Episode 9500 | Return: 0.0 | Elapsed: 58.66 min
Step: 485498 | Episode 9600 | Return: 0.0 | Elapsed: 59.66 min
Step: 492621 | Episode 9700 | Return: 0.0 | Elapsed: 60.65 min
Step: 500065 | Episode 9800 | Return: 0.0 | Elapsed: 61.67 min
Step: 507128 | Episode 9900 | Return: 0.0 | Elapsed: 62.66 min
Step: 514646 | Episode 10000 | Return: 0.0 | Elapsed: 63.71 min
Step: 521491 | Episode 10100 | Return: 0.0 | Elapsed: 64.70 min
Step: 528698 | Episode 10200 | Return: 0.0 | Elapsed: 65.70 min
Step: 535764 | Episode 10300 | Return: 0.0 | Elapsed: 66.70 min
Step: 543310 | Episode 10400 | Return: 0.0 | Elapsed: 67.77 min
Step: 550826 | Episode 10500 | Return: 0.0 | Elapsed: 68.84 min
Step: 558374 | Episode 10600 | Return: 0.0 | Elapsed: 69.92 min
Step: 566124 | Episode 10700 | Return: 0.0 | Elapsed: 71.05 min
Step: 573838 | Episode 10800 | Return: 0.0 | Elapsed: 72.23 min
Step: 582240 | Episode 10900 | Return: 0.0 | Elapsed: 73.53 min
Step: 590351 | Episode 11000 | Return: 0.0 | Elapsed: 74.81 min
Step: 598241 | Episode 11100 | Return: 0.0 | Elapsed: 76.08 min
Step: 607012 | Episode 11200 | Return: 0.0 | Elapsed: 77.36 min
Step: 615350 | Episode 11300 | Return: 0.0 | Elapsed: 78.63 min
Step: 624207 | Episode 11400 | Return: 0.0 | Elapsed: 79.98 min
Step: 632834 | Episode 11500 | Return: 0.0 | Elapsed: 81.31 min
